83,36,5848,المطففين,Al-Mutaffifin,Defrauding,meccan,86,1,,
84,25,5884,الإنشقاق,Al-Inshiqaaq,The Splitting Open,meccan,83,1,,
85,22,5909,البروج,Al-Burooj,The Constellations,meccan,27,1,,
86,17,5931,الطارق,At-Taariq,The Morning Star,meccan,36,1,,
87,19,5948,الأعلى,Al-A'laa,The Most High,meccan,8,1,,
88,26,5967,الغاشية,Al-Ghaashiya,The Overwhelming,meccan,68,1,,
89,30,5993,الفجر,Al-Fajr,The Dawn,meccan,10,1,,
90,20,6023,البلد,Al-Balad,The City,meccan,35,1,,
91,15,6043,الشمس,Ash-Shams,The Sun,meccan,26,1,,
92,21,6058,الليل,Al-Lail,The Night,meccan,9,1,,
93,11,6079,الضحى,Ad-Dhuhaa,The Morning Hours,meccan,11,1,,
94,8,6090,الشرح,Ash-Sharh,The Consolation,meccan,12,1,,
95,8,6098,التين,At-Tin,The Fig,meccan,28,1,,
96,19,6106,العلق,Al-Alaq,The Clot,meccan,1,1,,
97,5,6125,القدر,Al-Qadr,"The Power, Fate",meccan,25,1,,
98,8,6130,البينة,Al-Bayyina,The Evidence,medinan,100,1,,
99,8,6138,الزلزلة,Az-Zalzala,The Earthquake,medinan,93,1,,
100,11,6146,العاديات,Al-Aadiyaat,The Chargers,meccan,14,1,,
101,11,6157,القارعة,Al-Qaari'a,The Calamity,meccan,30,1,,
102,8,6168,التكاثر,At-Takaathur,Competition,meccan,16,1,,
103,3,6176,العصر,Al-Asr,"The Declining Day, Epoch",meccan,13,1,,
104,9,6179,الهمزة,Al-Humaza,The Traducer,meccan,32,1,,
105,5,6188,الفيل,Al-Fil,The Elephant,meccan,19,1,,
106,4,6193,قريش,Quraish,Quraysh,meccan,29,1,,
107,7,6197,الماعون,Al-Maa'un,Almsgiving,meccan,17,1,,
108,3,6204,الكوثر,Al-Kawthar,Abundance,meccan,15,1,,
109,6,6207,الكافرون,Al-Kaafiroon,The Disbelievers,meccan,18,1,,
110,3,6213,النصر,An-Nasr,Divine Support,medinan,114,1,,
111,5,6216,المسد,Al-Masad,The Palm Fibre,meccan,6,1,,
112,4,6221,الإخلاص,Al-Ikhlaas,Sincerity,meccan,22,1,,
113,5,6225,الفلق,Al-Falaq,The Dawn,meccan,20,1,,
114,6,6230,الناس,An-Naas,Mankind,meccan,21,1,,
